CODIGO;NOMBRE;DESCRIPCION;VALOR_VENTA;VALOR_COMPRA
32442323;chocolate;alimento comentible;2000;1500
32442324;chocolate;alimento comentible;2000;1500
32442325;chocolate;alimento comentible;2000;1500
32442326;chocolate;alimento comentible;2000;1500
32442327;chocolate;alimento comentible;2000;1500
32442328;chocolate;alimento comentible;2000;1500
32442329;chocolate;alimento rico;10000;8500
32442330;naranja;alimento rico;10000;8500
32442331;naranja;alimento rico;10000;8500
32442332;naranja;alimento rico;10000;8500
32442333;naranja;alimento rico;10000;8500
32442334;naranja;alimento rico;10000;8500
32442335;naranja;alimento rico;10000;8500
32442336;naranja;alimento rico;10000;8500
32442337;naranja;alimento rico;10000;8500
32442338;ajo;alimento comible;1500;1000
32442339;ajo;alimento comible;1500;1000
32442340;ajo;alimento comible;1500;1000
32442341;ajo;alimento comible;1500;1000
32442342;ajo;alimento comible;1500;1000
32442343;ajo;alimento comible;1500;1000
32442344;pimenton;hortaliza rica;1400;1000
32442345;pimenton;hortaliza rica;1400;1000
32442346;pimenton;hortaliza rica;1400;1000
32442347;pimenton;hortaliza rica;1400;1000
32442348;pimenton;hortaliza rica;1400;1000
32442349;pimenton;hortaliza rica;1400;1000
32442350;pimenton;hortaliza rica;1400;1000
32442351;atun;fruta muy rica ;1500;1200
32442352;atun;fruta muy rica ;1500;1200
32442353;atun;fruta muy rica ;1500;1200
32442354;atun;fruta muy rica ;1500;1200
32442355;atun;fruta muy rica ;1500;1200
32442356;atun;fruta muy rica ;1500;1200
32442357;atun;fruta muy rica ;1500;1200
32442358;pana;Hace parte de los granos;2000;1500
32442359;pana;Hace parte de los granos;2000;1500
32442360;pana;Hace parte de los granos;2000;1500
32442361;pana;Hace parte de los granos;2000;1500
32442362;pana;Hace parte de los granos;2000;1500
32442363;pana;Hace parte de los granos;2000;1500
32442364;pana;Hace parte de los granos;2000;1500
32442365;platano;hace parte de los granos pero no es muy rico;2000;1500
32442366;platano;hace parte de los granos pero no es muy rico;2000;1500
32442367;platano;hace parte de los granos pero no es muy rico;2000;1500
32442368;platano;hace parte de los granos pero no es muy rico;2000;1500
32442369;platano;hace parte de los granos pero no es muy rico;2000;1500
32442370;platano;hace parte de los granos pero no es muy rico;2000;1500
32442371;platano;hace parte de los granos pero no es muy rico;2000;1500
32442372;platano;hace parte de los granos pero no es muy rico;2000;1500
32442373;platano;hace parte de los granos pero no es muy rico;2000;1500
32442374;platano;hace parte de los granos pero no es muy rico;2000;1500
32442375;platano;hace parte de los granos pero no es muy rico;2000;1500
32442376;papel higenico;hace parte de los granos y me encanta;2000;1500
32442377;papel higenico;hace parte de los granos y me encanta;2000;1500
32442378;papel higenico;hace parte de los granos y me encanta;2000;1500
32442379;papel higenico;hace parte de los granos y me encanta;2000;1500
32442380;papel higenico;hace parte de los granos y me encanta;2000;1500
32442381;papel higenico;hace parte de los granos y me encanta;2000;1500
32442382;papel higenico;hace parte de los granos y me encanta;2000;1500
32442383;papel higenico;hace parte de los granos y me encanta;2000;1500
32442384;papel higenico;hace parte de los granos y me encanta;2000;1500
32442385;papel higenico;hace parte de los granos y me encanta;2000;1500
32442386;papel higenico;hace parte de los granos y me encanta;2000;1500
32442387;chorizo;los como pero no es mi favorito;6000;500
32442388;chorizo;los como pero no es mi favorito;6000;500
32442389;chorizo;los como pero no es mi favorito;6000;500
32442390;chorizo;los como pero no es mi favorito;6000;500
32442391;chorizo;los como pero no es mi favorito;6000;500
32442392;chorizo;los como pero no es mi favorito;6000;500
32442393;chorizo;los como pero no es mi favorito;6000;500
32442394;chorizo;los como pero no es mi favorito;6000;500
32442395;chorizo;los como pero no es mi favorito;6000;500
32442396;cachama;es un producto de la canasta familiar;700;600
32442397;cachama;es un producto de la canasta familiar;700;600
32442398;cachama;es un producto de la canasta familiar;700;600
32442399;cachama;es un producto de la canasta familiar;700;600
32442400;cachama;es un producto de la canasta familiar;700;600
32442401;cachama;es un producto de la canasta familiar;700;600
32442402;cachama;es un producto de la canasta familiar;700;600
32442403;cachama;es un producto de la canasta familiar;700;600
32442404;cachama;es un producto de la canasta familiar;700;600
32442405;cachama;es un producto de la canasta familiar;700;600
32442406;pollo;es un producto de la canasta familiar y comsuno es minimo;12000;10000
32442407;pollo;es un producto de la canasta familiar y comsuno es minimo;12000;10000
32442408;pollo;es un producto de la canasta familiar y comsuno es minimo;12000;10000
32442409;pollo;es un producto de la canasta familiar y comsuno es minimo;12000;10000
32442410;pollo;es un producto de la canasta familiar y comsuno es minimo;12000;10000
32442411;pollo;es un producto de la canasta familiar y comsuno es minimo;12000;10000
32442412;pollo;es un producto de la canasta familiar y comsuno es minimo;12000;10000
32442413;costilla;es un producto de la canasta familiar y es muy apetecida;15000;12000
32442414;costilla;es un producto de la canasta familiar y es muy apetecida;15000;12000
32442415;costilla;es un producto de la canasta familiar y es muy apetecida;15000;12000
32442416;costilla;es un producto de la canasta familiar y es muy apetecida;15000;12000
32442417;costilla;es un producto de la canasta familiar y es muy apetecida;15000;12000
32442418;costilla;es un producto de la canasta familiar y es muy apetecida;15000;12000
32442419;costilla;es un producto de la canasta familiar y es muy apetecida;15000;12000
32442420;costilla;es un producto de la canasta familiar y es muy apetecida;15000;12000
